Gene_Id	brefeldin-a_HEPG2_6 h_10 µM
PRAF2	1.000876546
POLG2	0.032353818
CHP1	-0.694229722
PNKP	-0.032701343
ECD	1.040420532
DDX42	2.985352755
TWF2	-0.473637402
CASC3	-0.322427422
COG2	2.834062099
ATF5	-0.320669889
MTF2	-1.22202301
PUF60	-0.671877265
RAB11FIP2	0.09051434
CLSTN1	0.999872446
FOXJ3	-0.34675777
KIAA0907	-0.857181787
EPN2	-0.064325273
SACM1L	0.781315565
ATF6	-1.51742065
RPIA	-1.248256207
RAB21	0.752426147
SPEN	-0.288704485
FBXO21	0.652711451
RBM34	-0.353175163
WDTC1	-2.13576746
XPO7	-0.672806025
TBC1D9B	-0.86280036
RRP1B	-0.456116438
MYCBP2	-1.965634823
CDK19	1.546663404
GPATCH8	-0.567015231
MAST2	-0.962352574
DCUN1D4	-0.562016785
FCHO1	-0.358078361
SNX13	0.962732673
ATP11B	2.798666954
JMJD6	3.748418331
RRS1	-1.002381563
RRP12	-1.355288148
SYNE2	-0.226686597
PDS5A	-1.323656559
CAMSAP2	-0.898758292
ATMIN	-0.811879992
TRIM2	0.586219192
KIAA1033	3.271553278
USP22	-1.101243854
WDR7	0.664216578
JADE2	0.732064009
ARHGEF12	-0.557844281
PPP1R13B	0.016168244
RRP8	0.067208454
NUDCD3	-0.097839162
SIRT3	1.089475632
SLC35A3	1.155536175
ICMT	-1.250661254
MACF1	0.147500008
SUZ12	-1.635230064
KAT6B	0.752215505
NNT	2.718060732
ADAT1	0.642876327
TMEM50A	-0.127430379
KLHDC2	1.266378403
ACOT9	-0.993369162
SSBP2	2.170549631
NUP62	-0.289580882
ARFIP2	1.096833944
LSM5	0.283550799
PLA2G15	1.886345387
TMEM2	1.299138904
ZNF318	-1.220954418
FBXO7	1.398970604
SPDEF	0.594513714
BAMBI	-1.332527161
BACE2	-0.492695004
COG4	-1.422340155
MPC2	-1.948970199
CLIC4	0.086092651
C2CD2	0.840767562
TIPARP	-0.296864539
TSKU	1.005352139
RNF167	0.354286969
LRP10	-0.701659262
ZNF451	-0.913829088
SENP6	-0.539020836
RAI14	-0.174354985
KIF1BP	-0.216797292
TES	0.590167224
PHGDH	1.182132244
MYCBP	2.025347948
CHIC2	-0.906512678
TIMM9	-0.614252269
AKAP8L	-1.034754872
ATP2C1	1.434433818
TRAPPC3	-3.311856031
ATP5S	-0.317409515
TNFRSF21	-2.058982372
SESN1	-0.639655113
HTATSF1	1.965635657
TMEM97	3.054063559
BZW2	3.465123415
CHMP4A	-0.460670561
GTPBP8	1.805941582
DNAJC15	1.233813167
PACSIN3	1.938372016
RBM15B	0.437435359
HOOK2	-0.631330013
SNX11	-2.262644529
TIMM22	-1.715070486
NENF	0.079455584
UBQLN2	3.251500607
ERO1A	-0.547990322
DNTTIP2	0.867361903
PIK3R4	0.791118145
HDGFRP3	0.998421609
COPS7A	-0.449105263
NSDHL	-0.282675654
HEBP1	-0.031805858
MTERF3	-0.064965047
AMDHD2	0.615568519
ISOC1	-0.620861053
MRPS16	-0.535076201
FIS1	-1.769241214
GOLT1B	-0.794433832
GLOD4	-0.154358596
GMNN	-0.922311425
LAP3	-0.280098557
NOSIP	-0.103782535
DERA	0.51657331
SCCPDH	-0.528216898
MRPS2	-0.559286773
VPS28	-0.590984881
HSD17B11	-0.871609569
NUSAP1	1.339695334
SCAND1	-1.885041833
CD320	-0.516474962
NGRN	-1.346630335
SNX7	1.417134285
ATP6V1D	-0.112993881
ZNF589	-0.561680138
PRKAG2	0.987697661
UBE2J1	-5.270699024
EVL	0.227999359
HACD3	3.374768019
UFM1	-0.365672767
LSR	0.185715362
DHRS7	1.713833809
CAB39	-0.95456636
ARID4B	0.841876864
NUDT9	0.524624646
CYCS	-0.471283644
TERF2IP	-1.252372742
