Gene_Id	geldanamycin_HEPG2_24 h_10 µM
DHX29	1.132450183
EXOSC4	-0.266939216
DDIT4	-2.938917975
PAF1	-1.214874951
P4HTM	0.287484723
SLC35F2	1.185744903
ZNF586	0.122735803
FBXL12	0.04493826
TEX10	1.131288351
YTHDF1	0.929286356
TXNL4B	1.431265553
HERC6	-1.365555086
PIH1D1	-0.091490369
PPP2R3C	-3.439716931
FKBP14	-3.705081228
CDCA4	-3.359077388
PLEKHJ1	-3.029687713
HEATR1	-0.819470922
ANO10	2.398549685
UBR7	-1.877958702
FAIM	-0.038636673
ADI1	1.296113522
ABCF3	4.17227602
ENOSF1	-0.650693919
LRRC16A	-1.896882178
ANKRD10	-1.425458844
STAP2	0.263171459
IARS2	0.821296576
NUP133	3.861698921
CNDP2	-1.031373981
FAM63A	1.071379241
KDM3A	-0.906305927
PECR	-0.556581015
EAPP	-0.299471952
CISD1	-1.106506234
ZNF395	-1.327242493
KLHL9	1.365701633
NPDC1	0.315713113
TM9SF3	3.156586288
PAK6	0.932761264
DUSP22	-0.458951645
ADCK3	-0.196330962
CIAPIN1	1.317709833
PLSCR3	-0.640724366
SCYL3	0.224354053
LYRM1	-0.241570878
ZMIZ1	-4.755053588
MCOLN1	0.834805323
THAP11	-2.740007484
ABHD6	1.628204243
TRIB3	1.47372471
POLD4	4.700888554
SQRDL	0.177735779
ENOPH1	2.00577846
PRUNE	-0.232002774
SNX6	1.726616268
FASTKD5	-2.776439526
ELAC2	-1.807973296
ABHD4	3.258438943
MCUR1	1.445280688
RBKS	-0.412420254
ATG3	1.260514406
NARFL	1.200421689
ZDHHC6	1.395775524
ACBD3	0.165515577
CERK	0.147979459
NT5DC2	3.349929227
ACD	0.864512421
INTS3	6.961683352
TRAK2	0.672294813
METRN	1.677007643
ELOVL6	1.523276787
TMEM109	-2.633976442
CCDC86	-1.249248187
TRAPPC6A	-1.513483221
CHAC1	-1.894073056
MBOAT7	0.536951246
PRR15L	0.818139671
CRELD2	0.567662592
FSD1	0.62915501
TCTN1	0.241611864
CHMP6	-7.332320536
NPEPL1	0.774519676
FAM57A	2.968728663
NUP85	0.450879961
TCEAL4	1.127783823
DHDDS	-1.026508442
DENND2D	-0.25195806
FBXO11	1.675531397
CCDC92	1.21987471
COASY	-0.000293008
WDR61	1.836857047
TSEN2	0.060886278
PRR7	-0.712612022
ITFG1	-0.427085754
GDPD5	1.585820903
GRWD1	-1.604545987
ARID5B	-2.327674476
TUBB6	-1.58968329
PSRC1	1.33319581
ADO	-7.385124529
HIST1H2BK	0.580336031
MICALL1	-0.813262997
UBE3B	-0.010546946
HN1L	-1.180991177
SLC25A46	0.009056312
COG7	-5.297916416
MAPK1IP1L	1.121637775
TBC1D31	4.87972439
H2AFV	0.291033272
RPL39L	-1.259793388
CANT1	1.695766054
WIPF2	-1.993507048
TICAM1	-2.870049997
TXLNA	-0.401676595
SPRED2	0.929990703
EML3	-0.038215604
TMEM110	0.587193323
FAM69A	-0.818711497
