Gene_Id	benzo(a)pyrene_VCAP_24 h_10 µM
PSRC1	-1.631836772
ADO	-0.236246794
HIST1H2BK	-0.312523723
MICALL1	-0.785961211
UBE3B	-0.538289666
HN1L	-0.004420079
SLC25A46	0.456591636
COG7	-0.192005232
MAPK1IP1L	-0.40481329
TBC1D31	-0.663798094
H2AFV	-0.738346517
RPL39L	2.011636734
CANT1	-1.169300079
WIPF2	0.564206123
TICAM1	-0.99967885
TXLNA	0.048536293
SPRED2	-0.630093157
EML3	-0.161948323
TMEM110	-0.062222738
FAM69A	-0.058270574
