source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,sources,references,nsources,nrefs
P10451,P16070,SPP1,CD44,1,1,0,1,1,0,,Baccin2019;CellPhoneDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPRD;HPRD_LRdb;I2D_CellPhoneDB;IMEx_CellPhoneDB;InnateDB-All_CellPhoneDB;IntAct;IntAct_CellPhoneDB;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:10657301;Baccin2019:12377945;HPRD:10657301;HPRD:12377945;IntAct:20146103;IntAct:20549562;LRdb:10657301;LRdb:12;Lit-BM-17:20146103;Lit-BM-17:20549562,18,10
Q9NQS3,Q495A1,NECTIN3,TIGIT,1,1,0,1,1,0,,CellPhoneDB;LRdb;Lit-BM-17;UniProt_LRdb,CellPhoneDB:1313846;Lit-BM-17:21982860,4,2
P13591,P11362,NCAM1,FGFR1,1,1,0,1,1,0,,Baccin2019;BioGRID;CellPhoneDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:12121226;BioGRID:12121226;HPRD:12121226;LRdb:12121226,12,4
P09326,Q9BZW8,CD48,CD244,1,1,0,1,1,0,,Baccin2019;CellPhoneDB;HPRD;IntAct;LRdb;Wang,Baccin2019:26794910;CellPhoneDB:26697006;HPRD:11163399;HPRD:9834056;IntAct:15153464;IntAct:16002700;IntAct:18296487;LRdb:15870174,6,8
Q92692,Q15762,NECTIN2,CD226,1,1,0,1,1,0,,Baccin2019;CellPhoneDB;HPRD;LRdb;Lit-BM-17;UniProt_LRdb;Wang,CellPhoneDB:15607800;CellPhoneDB:24440149;HPRD:12913096;HPRD:15536144;Lit-BM-17:12913096;Lit-BM-17:21982860,7,6
P78504,Q99466,JAG1,NOTCH4,1,1,1,1,1,1,,ACSN;Baccin2019;CellPhoneDB;EMBRACE;KEGG-MEDICUS;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;UniProt_LRdb;Wang;iTALK,ACSN:22330899;ACSN:22363130;CellPhoneDB:22353464;LRdb:24563863;Ramilowski2015:24563863,11,5
P49763,O14786,PGF,NRP1,1,1,0,1,1,0,,Baccin2019;CellPhoneDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:1198631111986310;HPRD:11986311;LRdb:11986311,12,3
Q9NR61,Q9UM47,DLL4,NOTCH3,1,1,0,1,1,0,,Baccin2019;CellPhoneDB;EMBRACE;KEGG-MEDICUS;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:29230914;CellPhoneDB:22353464;LRdb:22353464;Ramilowski2015:18182388,9,4
P04439,P43629,HLA-A,KIR3DL1,1,1,0,1,1,0,,CellPhoneDB;Fantom5_LRdb;LRdb;Ramilowski2015;Wang;iTALK,LRdb:17182537;Ramilowski2015:17182537,6,2
P27487,O14625,DPP4,CXCL11,1,1,0,1,1,0,,CellPhoneDB;HPRD;IntAct;Wang,CellPhoneDB:24218476;HPRD:11390394;IntAct:18275857;IntAct:21314817,4,4
