X1	X3	X2
Perturbation	inhibits	IKZF2 
Perturbation	inhibits	IL11 
Perturbation	inhibits	IL15 
Perturbation	inhibits	IL17A 
Perturbation	inhibits	IL17B 
Perturbation	inhibits	IL17C 
Perturbation	inhibits	IL17F 
Perturbation	inhibits	IL19 
Perturbation	inhibits	IL1RN 
Perturbation	inhibits	IL20 
Perturbation	inhibits	IL21 
Perturbation	inhibits	IL22 
Perturbation	inhibits	IL23A 
Perturbation	inhibits	IL24 
Perturbation	inhibits	IL25 
Perturbation	inhibits	IL26 
Perturbation	inhibits	IL27 
Perturbation	inhibits	IL31 
Perturbation	inhibits	IL34 
Perturbation	inhibits	IL36A 
Perturbation	inhibits	IL36B 
Perturbation	inhibits	IL36G 
Perturbation	inhibits	IL36RN 
Perturbation	inhibits	IL5 
Perturbation	inhibits	IL7 
Perturbation	inhibits	IL9 
Perturbation	inhibits	ILKAP 
Perturbation	inhibits	IMPDH2 
Perturbation	inhibits	ING1 
Perturbation	inhibits	ING2 
Perturbation	inhibits	ING5 
Perturbation	inhibits	INHA 
Perturbation	inhibits	INHBB 
Perturbation	inhibits	INHBC 
Perturbation	inhibits	INSL3 
Perturbation	inhibits	INSL5 
Perturbation	inhibits	INVS 
Perturbation	inhibits	IRAK1BP1 
Perturbation	inhibits	IRF2BP1 
Perturbation	inhibits	IRF2BP2 
Perturbation	inhibits	ISG15 
Perturbation	inhibits	ITGB1BP1 
Perturbation	inhibits	ITPR2 
Perturbation	inhibits	ITPR3 
Perturbation	inhibits	ITPRIPL1 
Perturbation	inhibits	JAKMIP1 
Perturbation	inhibits	JARID2 
Perturbation	inhibits	JAZF1 
Perturbation	inhibits	KALRN 
Perturbation	inhibits	KAT6A 
Perturbation	inhibits	KAT6B 
Perturbation	inhibits	KCNE1 
Perturbation	inhibits	KCNE4 
Perturbation	inhibits	KDM1B 
Perturbation	inhibits	KDM2A 
Perturbation	inhibits	KDM2B 
Perturbation	inhibits	KDM3A 
Perturbation	inhibits	KDM4A 
Perturbation	inhibits	KDM4B 
Perturbation	inhibits	KDM5A 
Perturbation	inhibits	KDM5C 
Perturbation	inhibits	KDM5D 
Perturbation	inhibits	KDM6A 
Perturbation	inhibits	KDM6B 
Perturbation	inhibits	KDM7A 
Perturbation	inhibits	KIF13B 
Perturbation	inhibits	KIF4A 
Perturbation	inhibits	KIF7 
Perturbation	inhibits	KISS1 
Perturbation	inhibits	KITLG 
Perturbation	inhibits	KL 
