pr_gene_id,pr_gene_symbol
1869,E2F1
4927,NUP88
1520,CTSS
4683,NBN
7466,WFS1
976,ADGRE5
2956,MSH6
133,ADM
9826,ARHGEF11
9917,FAM20B
6279,S100A8
25843,MOB4
287,ANK2
2729,GCLC
5326,PLAGL2
51594,NBAS
5300,PIN1
1652,DDT
8803,SUCLA2
7525,YES1
3099,HK2
6662,SOX9
27341,RRP7A
10269,ZMPSTE24
4729,NDUFV2
2109,ETFB
4668,NAGA
2356,FPGS
22903,BTBD3
2995,GYPC
3554,IL1R1
2274,FHL2
1429,CRYZ
11329,STK38
8038,ADAM12
713,C1QB
11065,UBE2C
10565,ARFGEF1
3059,HCLS1
5780,PTPN9
4594,MUT
9551,ATP5J2
23303,KIF13B
5993,RFX5
827,CAPN6
2941,GSTA4
8445,DYRK2
4354,MPP1
22836,RHOBTB3
58487,CREBZF
6477,SIAH1
6596,HLTF
9529,BAG5
9915,ARNT2
5996,RGS1
5836,PYGL
10948,STARD3
730,C7
2192,FBLN1
57804,POLD4
4017,LOXL2
11075,STMN2
51421,AMOTL2
4209,MEF2D
4055,LTBR
3632,INPP5A
10434,LYPLA1
6776,STAT5A
3612,IMPA1
11319,ECD
117178,SSX2IP
6590,SLPI
10535,RNASEH2A
56951,C5orf15
8260,NAA10
9925,ZBTB5
4597,MVD
1535,CYBA
5799,PTPRN2
7390,UROS
6157,RPL27A
10401,PIAS3
9788,MTSS1
5796,PTPRK
4719,NDUFS1
3145,HMBS
9189,ZBED1
22856,CHSY1
4814,NINJ1
8914,TIMELESS
6793,STK10
9652,TTC37
7158,TP53BP1
22893,BAHD1
717,C2
10286,BCAS2
6988,TCTA
9138,ARHGEF1
9060,PAPSS2
9656,MDC1
9647,PPM1F
3607,FOXK2
857,CAV1
51363,CHST15
8050,PDHX
9903,KLHL21
9900,SV2A
7869,SEMA3B
4643,MYO1E
22796,COG2
4087,SMAD2
8453,CUL2
29994,BAZ2B
56998,CTNNBIP1
9790,BMS1
7058,THBS2
7040,TGFB1
3796,KIF2A
10516,FBLN5
27429,HTRA2
6388,SDF2
10469,TIMM44
9587,MAD2L1BP
4528,MTIF2
9693,RAPGEF2
9425,CDYL
4247,MGAT2
27339,PRPF19
1436,CSF1R
10059,DNM1L
9052,GPRC5A
9040,UBE2M
2185,PTK2B
7469,NELFA
1936,EEF1D
10534,SSSCA1
2235,FECH
9924,PAN2
9159,PCSK7
79080,CCDC86
7159,TP53BP2
51112,TRAPPC12
4891,SLC11A2
3613,IMPA2
